Thread Size	Length	Thread Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Fastener Strength Grade	Hardness	Tensile Strength	Specifications Met	Part Number	Price	Material	Thread Direction
"1""-6"	3 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A862	19.75	Carbon Steel	right
"1""-6"	6 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A111	40.53	Carbon Steel	right
"1""-6"	12 ft.	1	1:1	"0.167"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A673	71.85	Carbon Steel	right
"1""-8"	"12"""	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A751	16	Carbon Steel	right
"1""-8"	3 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A864	31.11	Carbon Steel	right
"1""-8"	6 ft.	1	1:1	"0.125"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A041	56.57	Carbon Steel	right
"1""-10"	"12"""	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A754	13.75	Carbon Steel	right
"1""-10"	3 ft.	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A866	19.9	Carbon Steel	right
"1""-10"	6 ft.	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A219	40.53	Carbon Steel	right
"1""-10"	12 ft.	1	1:1	"0.1"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A676	68.95	Carbon Steel	right
"1 1/8""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A757	18.38	Carbon Steel	right
"1 1/8""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A873	27.98	Carbon Steel	right
"1 1/8""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A328	64.65	Carbon Steel	right
"1 1/4""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A761	16.05	Carbon Steel	right
"1 1/4""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A877	27.73	Carbon Steel	right
"1 1/4""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A112	76.1	Carbon Steel	right
"1 1/4""-4"	12 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A682	100.85	Carbon Steel	right
"1 1/4""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A764	17.3	Carbon Steel	right
"1 1/4""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A878	28.35	Carbon Steel	right
"1 1/4""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A131	79.27	Carbon Steel	right
"1 1/4""-5"	12 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A683	103.05	Carbon Steel	right
"1 3/8""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A767	26.33	Carbon Steel	right
"1 3/8""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A882	38.43	Carbon Steel	right
"1 3/8""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A329	99.34	Carbon Steel	right
"1 1/2""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A771	20	Carbon Steel	right
"1 1/2""-4"	2 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A924	36.29	Carbon Steel	right
"1 1/2""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A885	46.16	Carbon Steel	right
"1 1/2""-4"	4 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A925	59.95	Carbon Steel	right
"1 1/2""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A113	124.7	Carbon Steel	right
"1 1/2""-4"	8 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A926	130.8	Carbon Steel	right
"1 1/2""-4"	12 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A692	138.62	Carbon Steel	right
"1 1/2""-5"	"12"""	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A774	20	Carbon Steel	right
"1 1/2""-5"	3 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A889	54.56	Carbon Steel	right
"1 1/2""-5"	6 ft.	1	1:1	"0.2"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A331	99.15	Carbon Steel	right
"2""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A779	24.91	Carbon Steel	right
"2""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A893	69	Carbon Steel	right
"2""-4"	6 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A114	178.34	Carbon Steel	right
"2 1/2""-4"	"12"""	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A785	72.33	Carbon Steel	right
"2 1/2""-4"	3 ft.	1	1:1	"0.25"""	Class 2G	Grade 2	Rockwell B61	53000	ASTM A108	98935A901	210.24	Carbon Steel	right
