Thread Size	Height	Width	Starts	Speed Ratio	Travel Distance per Turn	Thread Fit	Hardness	Specifications Met	Part	Cost	Material	Direction	Type
"1/2""-8"	"31/64"""	"7/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A209	12.21	18-8 Stainless Steel	right	hex
"1/2""-10"	"31/64"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Not Rated	__	95066A212	14.04	18-8 Stainless Steel	right	hex
"5/8""-6"	"19/32"""	"1 1/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B97	__	95066A141	15.36	18-8 Stainless Steel	right	hex
"5/8""-8"	"39/64"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Not Rated	__	95066A213	16.02	18-8 Stainless Steel	right	hex
"3/4""-5"	"47/64"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A214	19.33	18-8 Stainless Steel	right	hex
"3/4""-6"	"47/64"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A217	19.33	18-8 Stainless Steel	right	hex
"3/4""-8"	"23/32"""	"1 1/4"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A152	15.15	18-8 Stainless Steel	right	hex
"7/8""-6"	"55/64"""	"1 1/2"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A226	22.54	18-8 Stainless Steel	right	hex
"1""-4"	"63/64"""	"1 5/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B97	__	95066A166	30.73	18-8 Stainless Steel	right	hex
"1""-5"	"63/64"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A215	29.58	18-8 Stainless Steel	right	hex
"1""-6"	"63/64"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Not Rated	__	95066A218	29.58	18-8 Stainless Steel	right	hex
"1""-8"	"63/64"""	"1 5/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B97	__	95066A168	31.88	18-8 Stainless Steel	right	hex
"1""-10"	"63/64"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Not Rated	__	95066A219	29.58	18-8 Stainless Steel	right	hex
"1 1/8""-5"	"1 7/64"""	"1 3/4"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A220	37.29	18-8 Stainless Steel	right	hex
"1 1/4""-4"	"1 1/4"""	"2"""	1	1:1	"0.25"""	Class 2G	Not Rated	__	95066A225	55.14	18-8 Stainless Steel	right	hex
"1 1/4""-5"	"1 7/32"""	"2"""	1	1:1	"0.2"""	Class 2G	Not Rated	__	95066A221	55.14	18-8 Stainless Steel	right	hex
"1 1/2""-4"	"1 15/32"""	"2 1/4"""	1	1:1	"0.25"""	Class 2G	Not Rated	__	95066A216	79.23	18-8 Stainless Steel	right	hex
"1 1/2""-5"	"1 1/2"""	"2 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B97	__	95066A175	112.47	18-8 Stainless Steel	right	hex
"2""-4"	"1 31/32"""	"3"""	1	1:1	"0.25"""	Class 2G	Not Rated	__	95066A233	141.82	18-8 Stainless Steel	right	hex
"2 1/4""-4"	"2 31/64"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B97	__	95066A185	295.71	18-8 Stainless Steel	right	hex
"2 1/2""-4"	"2 1/2"""	"3 1/2"""	1	1:1	"0.25"""	Class 2G	Rockwell B97	__	95066A195	362.14	18-8 Stainless Steel	right	hex
"1/4""-16"	"13/64"""	"1/2"""	1	1:1	"0.063"""	Class 2G	Rockwell B85	__	91808A009	2.60	Carbon Steel	left	hex
"3/8""-8"	"23/64"""	"11/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A014	4.28	Carbon Steel	left	hex
"3/8""-10"	"23/64"""	"11/16"""	1	1:1	"0.1"""	Class 2G	Rockwell B85	__	91808A019	4.28	Carbon Steel	left	hex
"3/8""-12"	"23/64"""	"11/16"""	1	1:1	"0.083"""	Class 2G	Rockwell B85	__	91808A106	2.32	Carbon Steel	left	hex
"1/2""-8"	"31/64"""	"7/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A023	3.92	Carbon Steel	left	hex
"1/2""-10"	"31/64"""	"7/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B85	__	91808A107	2.52	Carbon Steel	left	hex
"5/8""-6"	"19/32"""	"1 1/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B85	__	91808A027	3.05	Carbon Steel	left	hex
"5/8""-8"	"19/32"""	"1 1/16"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A108	2.8	Carbon Steel	left	hex
"3/4""-5"	"23/32"""	"1 1/4"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A117	5.14	Carbon Steel	left	hex
"3/4""-6"	"23/32"""	"1 1/4"""	1	1:1	"0.167"""	Class 2G	Rockwell B85	__	91808A109	3	Carbon Steel	left	hex
"3/4""-8"	"23/32"""	"1 1/4"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A046	4.2	Carbon Steel	left	hex
"7/8""-6"	"55/64"""	"1 7/16"""	1	1:1	"0.167"""	Class 2G	Rockwell B85	__	91808A120	9.32	Carbon Steel	left	hex
"1""-4"	"63/64"""	"1 5/8"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A054	7.28	Carbon Steel	left	hex
"1""-5"	"63/64"""	"1 5/8"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A110	4.87	Carbon Steel	left	hex
"1""-6"	"63/64"""	"1 5/8"""	1	1:1	"0.167"""	Class 2G	Rockwell B85	__	91808A111	5.85	Carbon Steel	left	hex
"1""-8"	"63/64"""	"1 5/8"""	1	1:1	"0.125"""	Class 2G	Rockwell B85	__	91808A066	6.43	Carbon Steel	left	hex
"1""-10"	"63/64"""	"1 5/8"""	1	1:1	"0.1"""	Class 2G	Rockwell B85	__	91808A121	7	Carbon Steel	left	hex
"1 1/8""-5"	"1 7/64"""	"1 13/16"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A119	7.77	Carbon Steel	left	hex
"1 1/4""-4"	"1 3/16"""	"2"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A118	8.45	Carbon Steel	left	hex
"1 1/4""-5"	"1 3/16"""	"2"""	1	1:1	"0.2"""	Class 2G	Rockwell B85	__	91808A112	8.46	Carbon Steel	left	hex
"1 3/8""-4"	"1 11/32"""	"2 3/16"""	1	1:1	"0.25"""	Class 2G	Rockwell B85	__	91808A122	16.55	Carbon Steel	left	hex
